;food_positive;service_positive;ambient_positive;price_positive;waiting_positive;rating;caption
0;1;1;0;0;0;5.0;abstand leckerst pizza halb abends mitnehmen bestellen positiv emotion einfach niederknien
1;1;0;0;0;0;4.0;chicken pizzas
4;1;0;1;0;0;5.0;leck pizz cool atmosphäre
6;1;0;0;0;0;5.0;extrem lecker empfehlung
7;1;0;1;0;0;5.0;gut pizza authentisch
9;1;0;0;0;0;2.0;pizza
10;0;0;0;0;0;4.0;solide pizza overrated overpriced
12;1;0;0;0;0;5.0;lecker pizza
13;1;0;0;0;0;5.0;phänomenal pizza
14;1;1;0;0;0;5.0;voll eventuell schlange stehen sobald sitzen super nett service
16;1;1;0;0;0;5.0;chillig laune angestellt fast partymäßig
18;1;0;0;0;0;5.0;geil
19;1;0;1;0;0;5.0;super lecker belegt pizza extrem dünn mitte dick fluffig rand normal deutsch sorte suchen vergeblich deutlich italienisch
20;1;0;1;0;0;4.0;pizz lecker wartezeit grade stichzeien sommer schön draußen sitzen drinnen musik
21;1;0;0;0;0;5.0;gehören restaurants
23;1;0;0;0;0;3.0;pizza mozarella frisch zutat boden labbig rand reichlich teig wartezeit stolz preis durchwachsen produkt
25;1;1;1;1;0;5.0;gut pizza kosten servieren neapolitanisch pizza preis leistung
26;1;0;0;0;0;4.0;traditionell italienisch pizza genau essen theke bestellen veganer eignen
27;1;0;1;0;0;5.0;leckerst pizza stadt toll ambiente
28;1;0;0;0;1;5.0;definitiv gut pizza pizza schmecken genau original neapolitanisch pizza vorstellen warten pizza genial
29;1;0;0;0;0;5.0;super lecker pizza
30;1;1;1;0;0;5.0;super lecker pizz stylish trubelig atmosphäre super nett super
31;1;0;0;0;0;4.0;leck pizza toll mittags
32;1;1;0;0;0;5.0;gut pizza super personal
33;1;1;0;0;0;5.0;pizza merken gegessen völlegefühl sonstig symptom liegen teig hervorragend teig hervorragend service
34;1;0;0;0;0;2.0;freitag abend pizz bestellen extra vorher angerufen problem freitag absprachen bescheid bestellen pizz webseite stehen zudem kosten pizz pizz webseite nachbaut stressig okay pizz kommen schnell liefern sorry pizz wärmebox eiskalt einfach wärmeboxen benutzen warm pizz lecker wabbelig lieferung pizz halt kalt kalt pizza halt cool
35;1;1;0;0;0;5.0;nice
36;1;0;0;0;0;4.0;gut pizzeria umkreis geschmack super restaurant hoch andrang klein köstlichkeit warten schade reservieren
37;1;0;0;0;0;5.0;awesom pizza
39;1;0;0;0;0;5.0;pizza
40;1;0;0;0;0;5.0;wahnsinnig toll pizza lecker
41;1;0;0;0;0;5.0;absolut lecker
42;1;0;1;0;0;5.0;pizza
43;1;0;0;0;0;5.0;wunderbar
44;1;0;0;0;1;5.0;pizza tastes just super fast
45;1;1;1;1;1;5.0;service preis service super
46;1;0;0;0;0;5.0;gut pizza einzig pizza nennen voll warten absolut normal nachvollziehbar verstehen negativ rezension
47;1;0;0;0;0;5.0;leck pizz
48;1;0;0;0;0;5.0;super lecker pizza preise fair großzügig belegen
49;1;0;0;0;0;5.0;super
50;1;0;1;1;0;5.0;pizza teuer authentisch neapolitanisch
51;1;0;0;0;0;5.0;einfach geil sagen
52;1;1;0;0;0;5.0;nett service spitzen pizza
55;1;0;0;0;0;4.0;super lecker pizza reservieren relativ tisch warten kalt temperatur draußen gegessen bestellen bezahlen theke hinterlässt name
59;0;0;0;0;0;2.0;laden irgendwie komplett overrated männlich einzig zuvorkommend freundlich service angehen musik
60;1;1;0;0;0;5.0;super lecker pizza nett service gerne
61;1;0;0;0;0;5.0;probably
62;1;0;1;0;1;5.0;geburtstag freitag abend feiern insgesamt hungrig jung mann geben bestellung pizz warten lassen minute pizz
63;1;0;0;0;0;3.0;trick quicker still
64;1;0;0;0;0;3.0;grandios pizza wartezeit telefon
65;0;0;0;0;0;1.0;frau super klassisch pizz nehmen pizza matschig mitte geschmacklich büffelmozarella ebenfalls geschmacklich neutral geschmack sagen schlechte pizz gegess gegessen hype laden nachvollziehen ebenfalls eindruck eher dunkel laut empfehlen
