;caption;rating;timestamp
0;;4.0;2023-02-27 05:28:09.086368
1;Mega cooles Ambiente und Konzept die Bürger sind auch geschmacklich sehr lecker. Man kann seiner Bürger individuelle auf seine Bedürfnisse anpassen ( Allergien/vegetarisch/Co) …;4.0;2023-02-21 20:28:09.086419
2;Super sympathische Mitarbeiter, eine wirklich freundliche und gemütliche Atmosphäre und fantastisches Essen! Wir kommen ganz sicher öfter. …;5.0;2023-02-20 20:28:09.086423
3;;4.0;2023-02-20 20:28:09.086426
4;;4.0;2023-02-20 20:28:09.086429
5;DAS nenne ich Burger! Nicht so ein Schicki-Micki möchte gerne Burgerladen in Dortmund! *hüstel* Ein absoluter Kult! Maestro del Tozzi - ein Gedicht! Wann immer ich in der Gegend bin, Space Burger oder Lupo. Beides einfach Kult!  (Translated by Google) THAT'S what I call burgers! Not such a fancy mic would like a burger shop in Dortmund! *cough* An absolute cult! Maestro del Tozzi - a poem! Whenever I'm in the area, Space Burger or Lupo. Both simply cult!;5.0;2023-02-20 20:28:09.086431
6;Waren gestern zu dritt dort , zwei haben den selben Burger bestellt und seid gestern Abend beide mit Magen Darm zu tun !Der Burger  sah lecker aus aber irgendetwas schmeckte auch komisch drin nicht wie erwartet !  (Translated by Google) There were three of us there yesterday, two of them ordered the same burger and both of them had stomach problems last night! The burger looked delicious but something inside didn't taste as funny as expected!;1.0;2023-02-20 20:28:09.086434
7;Wir fanden dieses Burger Restaurant klasse. Sehr individuelle Möglichkeiten... Zudem gibt es fleischlose Alternativen. Das Ambiente ein kleiner Zeitsprung in die Vergangenheit. Das Kartenzahlung nicht möglich ist, ist allerdings heutzutage nicht mehr zeitgemäß.  (Translated by Google) We loved this burger restaurant. Very individual options... There are also meatless alternatives. The ambience is a little leap in time into the past. The fact that card payment is not possible is no longer up-to-date nowadays.;4.0;2023-02-20 20:28:09.086436
8;;4.0;2023-02-20 20:28:09.086439
9;Sehr guter Burgerladen. Bester Service. War in der Woche da, und habe nur 10min auf den Burger gewartet. Ich empfehle den Laden weiter.  (Translated by Google) Very good burger shop. best service Was there during the week and only waited 10 minutes for the burger. I recommend the store.;5.0;2023-02-20 20:28:09.086441
10;;5.0;2023-02-13 20:28:09.086444
11;Lecker Burger zum fairen Preis mit coolen Ambiente. Jedoch im Jahr 2023 keine Kartenzahlung geht garnicht. …;4.0;2023-02-13 20:28:09.086447
12;;5.0;2023-02-13 20:28:09.086449
13;;5.0;2023-02-13 20:28:09.086452
14;Nice Burger and good Service;5.0;2023-02-13 20:28:09.086455
15;Leckere Burger, hab was länger drauf gewartet aber alles im Rahmen. 👌  (Translated by Google) …;4.0;2023-02-13 20:28:09.086458
16;Große Auswahl für Vegetarier.  (Translated by Google) Large selection for vegetarians.;3.0;2023-02-06 20:28:09.086461
17;Sehr sehr lecker!  (Translated by Google) Very very tasty!;5.0;2023-02-06 20:28:09.086464
18;;4.0;2023-02-06 20:28:09.086467
19;Many options for vegetarians, the quality is not consistent how ever;4.0;2023-02-06 20:28:09.086470
20;Sehr freundliche Bedienung, klasse Auswahl von fleischig bis komplett vegan, kulinarisch kompetent zubereitet - was will ich mehr! …;5.0;2023-02-06 20:28:14.720957
21;4 sterne weil der milchshake nur in Kombination mit einer Speise bestellbar ist  (Translated by Google) …;4.0;2023-02-06 20:28:14.720978
22;;5.0;2023-02-06 20:28:14.720982
23;Wer ne Stunde Zeit hat auf das Essen zu warten wird hier nicht enttäuscht. Essen lecker, für Veganer und Vegetarier alles da. Bedienung ist auf den Vorschlag den Preis aufgrund des bescheidenen Services …;2.0;2023-01-30 20:28:14.720986
24;Very nice service;5.0;2023-01-28 20:28:14.720990
25;;5.0;2023-01-28 20:28:14.720993
26;Kreative Auswahl. Lecker! Leider dauert es sehr lange bis das Essen kommt.  (Translated by Google) …;4.0;2023-01-28 20:28:14.720996
27;Ich war mit mehreren Freundinnen dort. Wir haben einen Tisch reserviert und haben bemerkt, dass wir ca. 10 min. zu spät kommen werden. Als wir dort angerufen haben, um zu fragen, ob das ein Problem wäre, wurde uns unfreundlich …;1.0;2023-01-28 20:28:14.721000
28;;5.0;2023-01-28 20:28:14.721003
29;Ich esse sehr gerne Burger und am liebsten bei Space Burger. Ich bin oft im Laden, mittags und am Abend und ich bestelle auch sehr gerne. Ich habe bisher keine schlechten Erfahrungen gemacht. Es gibt Tage, da ist der Burger noch besser als …;5.0;2023-01-28 20:28:14.721006
30;;4.0;2023-01-28 20:28:19.859501
31;Really good burgers! Please be advised, that this is a popular place and can experience some waiting times.;5.0;2023-01-28 20:28:19.859531
32;;5.0;2023-01-28 20:28:19.859536
33;;4.0;2023-01-28 20:28:19.859540
34;;5.0;2023-01-28 20:28:19.859543
35;Super nettes Ambiente und tolle Atmosphäre 😁 es ist nicht zu laut und man versteht sein eigenes Wort🤭 die Getränke kommen super schnell an den Tisch sowie das Essen ebenso👍 Der Geschmack ist überragend gut. Noch nie solch leckere Burger …;5.0;2023-01-28 20:28:19.859547
36;;5.0;2023-01-28 20:28:19.859551
37;"Mega leckere Burger; sehr nette Bedienung. Für mich die besten Burger in D-Dorf  (Translated by Google) …";5.0;2023-01-28 20:28:19.859554
38;Schlechtester Laden überhaupt. Wir hatten extra einen Tag vorher angerufen und einen Tisch reserviert. Als wir dann nach unserer Reservierung fragten, wurde gesagt, dass die Person, die gestern die Reservierung entgegen genommen hat, heute …;1.0;2023-01-28 20:28:19.859558
39;Handgemachte Burger, viele auch in vegetarischen Varianten- alles richtig lecker. Gast seit mehr als 20 Jahren, das spricht doch schon fast für sich. …;4.0;2023-01-28 20:28:19.859562
40;War mit meiner Frau da. Wir warteten 20 Minuten bis unsere Bestellung aufgenommen wurde. Nach 10 Minuten bekamen wir die Getränke eines Pärchens, welches 2 Tische weiter saß und bereits vor uns da war. 10 Minuten später bekamen wir unsere …;1.0;2023-01-28 20:28:25.596232
41;(Translated by Google) Good food. Friendly and helpful staff.  (Original) …;5.0;2022-12-29 20:28:25.596260
42;;3.0;2022-12-29 20:28:25.596267
43;Kalter Burger, war nicht so toll  (Translated by Google) Cold burger, wasn't that great;2.0;2022-12-29 20:28:25.596271
44;(Translated by Google) Very good burgers, has variety. The downside is that you can only pay in cash. …;4.0;2022-12-29 20:28:25.596275
45;;4.0;2022-12-29 20:28:25.596280
46;;4.0;2022-12-29 20:28:25.596284
47;;5.0;2022-12-29 20:28:25.596288
48;"(Translated by Google) Cozy and trendy restaurant. With pictures and gadgets from ""space"" movies like Star Wars everywhere, they don't miss the mark in terms of decor. …";5.0;2022-12-29 20:28:25.596292
49;(Translated by Google) All good service with a smile only the place a little cold... …;4.0;2022-12-29 20:28:25.596297
50;Super nettes Personal und erstklassige Burger. Witziges Ambiente. Wir waren zu viert und alle waren begeistert. Ein Grund noch einmal nach Düsseldorf zu fahren. …;5.0;2022-12-29 20:28:30.651145
51;Unsere Burger waren lecker und es ging alles sehr schnell  (Translated by Google) …;4.0;2022-12-29 20:28:30.651184
52;;4.0;2022-12-29 20:28:30.651189
53;Es ist seit gut zwei Jahrzehnten - eher sogar etwas länger - eines meiner Lieblingslokale in der Stadt. Ich verstehe gar nicht, warum wir so lange nicht mehr hier waren. Wie immer: Wenn es Mal schnell gehen sollte, würde ich doch - schweren …;5.0;2022-12-29 20:28:30.651194
54;;4.0;2022-12-29 20:28:30.651199
55;;5.0;2022-11-29 20:28:30.651204
56;;5.0;2022-11-29 20:28:30.651209
57;Witzig eingerichtetes Restaurant mit lockeren Servicemitarbeitern. Auch die Karte ist interessant gestaltet. Die Burger selbst schmeckten bislang alle gut,  könnten aber in dieser Preiskategorie etwas größer sein. Auch Sparmenüs sind …;4.0;2022-11-29 20:28:30.651214
58;Das Essen war gut, aber ich wurde noch nie so unfreundlich in einem Restaurant behandelt wie hier heute. Man hätte denken können man ist bei versteckte Kamera. Die Bestellung wurde rasch aufgenommen, als sie dann kurz danach kam wurde sie …;2.0;2022-11-29 20:28:30.651218
59;Cooles Ambiente sowie leckere Burger und Pommes zu fairen Preisen, aber oft leider schlechter Service, man wartet insbesondere abends sehr lange …;3.0;2022-11-29 20:28:30.651223
60;Super tasty burgers!;5.0;2022-11-29 20:28:35.731666
61;bester burger meines lebens. mit liebe jeglichn baustein ausgewählt. bin stammkunde. love …;5.0;2022-11-29 20:28:35.731708
62;Die Burger 🍔 sind super. Das Interieur allerdings, könnte mal wieder überarbeitet werden. Und was eigentlich gar nicht geht....NUR BARZAHLUNG. Da drängen sich mir immer komische Gedanken auf, bei dieser nur einen Zahlungsart. …;4.0;2022-11-29 20:28:35.731714
63;;2.0;2022-11-29 20:28:35.731719
64;Sehr leckere und große Auswahl an Burger. Dazu eine gute Auswahl an Getränken, inklusive Indian Pale Ales. …;5.0;2022-11-29 20:28:35.731725
65;Liebevoll gestalteter Burger Laden. Uns hat besonders gut gefallen, dass man jeden Burger auch als vegane oder vegetarische Variante bestellen kann. Wir kommen gerne nochmal wieder! …;5.0;2022-11-29 20:28:35.731731
66;Die Burger sind total lecker und ausgefallen. Da ist für jeden etwas dabei, von dem Klassiker bis zu neuen überraschend leckeren Burgern, die man nicht überall bekommt. (Außerdem ist die Speisekarte wirklich sehr kreativ gestaltet mit …;5.0;2022-11-29 20:28:35.731736
67;;3.0;2022-11-29 20:28:35.731741
68;;5.0;2022-11-29 20:28:35.731747
69;;4.0;2022-11-29 20:28:35.731752
