;caption;rating;timestamp
0;abstand leckerst pizza halb abends mitnehmen bestellen positiv emotion einfach niederknien;5.0;2023-02-15 22:10:07.146586
4;chicken pizzas;4.0;2023-02-14 00:10:07.146703
7;leck pizz cool atmosphäre;5.0;2023-02-13 00:10:07.146710
11;extrem lecker empfehlung;5.0;2023-02-10 00:11:07.737920
13;gut pizza authentisch;5.0;2023-02-09 00:11:07.737926
16;pizza;2.0;2023-02-09 00:11:07.737936
20;solide pizza overrated overpriced;4.0;2023-02-02 00:11:07.737948
24;lecker pizza;5.0;2023-02-02 00:11:07.737961
25;phänomenal pizza;5.0;2023-02-02 00:11:07.737964
26;voll eventuell schlange stehen sobald sitzen super nett service;5.0;2023-02-02 00:11:07.737968
30;chillig laune angestellt fast partymäßig;5.0;2023-02-02 00:11:12.840526
35;geil;5.0;2023-01-26 00:11:12.840576
36;super lecker belegt pizza extrem dünn mitte dick fluffig rand normal deutsch sorte suchen vergeblich deutlich italienisch;5.0;2023-01-26 00:11:12.840580
39;pizz lecker wartezeit grade stichzeien sommer schön draußen sitzen drinnen musik;4.0;2023-01-17 00:11:12.840592
41;gehören restaurants;5.0;2023-01-17 00:11:18.031866
44;pizza mozarella frisch zutat boden labbig rand reichlich teig wartezeit stolz preis durchwachsen produkt;3.0;2023-01-17 00:11:18.031879
46;gut pizza kosten servieren neapolitanisch pizza preis leistung;5.0;2023-01-17 00:11:18.031887
48;traditionell italienisch pizza genau essen theke bestellen veganer eignen;4.0;2023-01-17 00:11:18.031896
50;leckerst pizza stadt toll ambiente;5.0;2023-01-17 00:11:41.057831
51;definitiv gut pizza pizza schmecken genau original neapolitanisch pizza vorstellen warten pizza genial;5.0;2023-01-17 00:11:41.057868
52;super lecker pizza;5.0;2023-01-17 00:11:41.057873
54;super lecker pizz stylish trubelig atmosphäre super nett super;5.0;2023-01-17 00:11:41.057883
55;leck pizza toll mittags;4.0;2023-01-17 00:11:41.057887
57;gut pizza super personal;5.0;2023-01-17 00:11:41.057897
58;pizza merken gegessen völlegefühl sonstig symptom liegen teig hervorragend teig hervorragend service;5.0;2023-01-17 00:11:41.057902
59;freitag abend pizz bestellen extra vorher angerufen problem freitag absprachen bescheid bestellen pizz webseite stehen zudem kosten pizz pizz webseite nachbaut stressig okay pizz kommen schnell liefern sorry pizz wärmebox eiskalt einfach wärmeboxen benutzen warm pizz lecker wabbelig lieferung pizz halt kalt kalt pizza halt cool;2.0;2023-01-17 00:11:41.057907
60;nice;5.0;2023-01-17 00:11:41.057912
61;gut pizzeria umkreis geschmack super restaurant hoch andrang klein köstlichkeit warten schade reservieren;4.0;2023-01-17 00:11:41.057917
62;awesom pizza;5.0;2023-01-17 00:11:41.057922
65;pizza;5.0;2023-01-17 00:11:41.057938
67;wahnsinnig toll pizza lecker;5.0;2023-01-17 00:11:41.057948
69;absolut lecker;5.0;2023-01-17 00:11:41.057959
72;pizza;5.0;2022-12-18 00:12:35.588520
77;wunderbar;5.0;2022-12-18 00:12:35.588550
79;pizza tastes just super fast;5.0;2022-12-18 00:12:35.588561
82;service preis service super;5.0;2022-12-18 00:12:35.588579
85;gut pizza einzig pizza nennen voll warten absolut normal nachvollziehbar verstehen negativ rezension;5.0;2022-12-18 00:12:35.588598
87;leck pizz;5.0;2022-12-18 00:12:35.588614
89;super lecker pizza preise fair großzügig belegen;5.0;2022-12-18 00:12:35.588627
90;super;5.0;2022-12-18 00:12:40.927085
92;pizza teuer authentisch neapolitanisch;5.0;2022-12-18 00:12:40.927128
94;einfach geil sagen;5.0;2022-12-18 00:12:40.927143
98;nett service spitzen pizza;5.0;2022-12-18 00:12:40.927171
101;super lecker pizza reservieren relativ tisch warten kalt temperatur draußen gegessen bestellen bezahlen theke hinterlässt name;4.0;2022-11-18 00:12:46.543507
106;laden irgendwie komplett overrated männlich einzig zuvorkommend freundlich service angehen musik;2.0;2022-11-18 00:12:46.543548
107;super lecker pizza nett service gerne;5.0;2022-11-18 00:12:46.543556
108;probably;5.0;2022-11-18 00:12:46.543564
109;geburtstag freitag abend feiern insgesamt hungrig jung mann geben bestellung pizz warten lassen minute pizz;5.0;2022-11-18 00:12:46.543573
110;trick quicker still;3.0;2022-11-18 00:13:19.882152
113;grandios pizza wartezeit telefon;3.0;2022-11-18 00:13:19.882240
114;frau super klassisch pizz nehmen pizza matschig mitte geschmacklich büffelmozarella ebenfalls geschmacklich neutral geschmack sagen schlechte pizz gegess gegessen hype laden nachvollziehen ebenfalls eindruck eher dunkel laut empfehlen;1.0;2022-11-18 00:13:19.882248
116;pizz authentisch neapolitanisch bestellen kasse häufig schlange stoßzeit schwierig sitzplatz bekommen;5.0;2022-11-18 00:13:19.882264
121;pizza lecker innen ungemütlich service minute anstehen bestellen nochmal minute warten rest abräumen person bestellung entgegennehmen freundlich;3.0;2022-11-18 00:13:25.438056
122;reasonably bringing;3.0;2022-11-18 00:13:25.438065
123;versuchen anzurufen pizza mitnehmen bestell sowieso telefon scheinbar halten nötig sowieso leute vorbeikommen warterei kommen pizz ecke gegessen bleiben feuerwerk teig irgendwie gummiartig zutat fehlen gewiß geschmacklich flach umami erhoffen pizza gewinnen direkt vergleich;3.0;2022-11-18 00:13:25.438074
125;1h20;1.0;2022-11-18 00:13:25.438091
127;leck pizza ambiente eher lang verbleib weiterziehen positiv emotion fein;4.0;2022-11-18 00:13:25.438108
132;echt neapolitanisch pizza warten direkt rein platz bekommen cool leute essen;4.0;2022-11-18 00:14:03.614734
134;persönlich gut pizza bleiben ungeschlagen liebling bockenheimer kekspizza;5.0;2022-11-18 00:14:03.614752
136;neapolitanisch pizza besuch lohnen fall nachmittags persönlich konzept laut musik abend;4.0;2022-11-18 00:14:03.614771
138;frau minute stehen warten entscheiden setzen frei tisch außenbereich höchstens minute bestellung aufgeben sprechen;1.0;2022-11-18 00:14:03.614789
139;echt italiener schmecken sogar intensiv geschmack büffelmozzarella problem sitzplatz finden irgendwie klappts mitbringen;4.0;2022-11-18 00:14:03.614799
143;stück sicher gut pizza gegessen probieren verpassen;5.0;2022-11-18 00:14:03.614836
144;leck pizza teig extrem lecker vegan käse pizza essen getränk theke bestellen bezahlen;5.0;2022-11-18 00:14:03.614846
150;pizza niveau kommen gerne freundlich zuvorkommend personal samstag abends laufen zudem musik empfehlen;5.0;2022-10-19 00:14:09.543056
151;perfekt überragend wochenende super stimmung einfach essen schön abend;5.0;2022-10-19 00:14:09.543109
152;vernünftig neapolitanisch pizza danke;5.0;2022-10-19 00:14:09.543120
155;gut pizza stadt;5.0;2022-10-19 00:14:09.543151
157;spitzenklasse;5.0;2022-10-19 00:14:09.543171
159;pizz italien stimmung laden mega cool wahrscheinlich geschmackssach pizza laden besuchen;5.0;2022-10-19 00:14:09.543192
160;egal echt klasse nett personal angenehm ambiente;5.0;2022-10-19 00:14:15.401914
162;hervorragend neapolitanisch pizza;5.0;2022-10-19 00:14:15.401972
163;super fruendlich atmosphäre chillig schön auswahl pizzas lecker schnell fertig wartezeit qalität leiden;5.0;2022-10-19 00:14:15.401983
164;leck pizza hochpreisig;5.0;2022-10-19 00:14:15.401994
166;pizza durchschnitt atmosphäre eher jung volk preis fair;4.0;2022-10-19 00:14:15.402015
170;better;5.0;2022-10-19 00:14:21.260530
171;leckerst neapolitanisch pizza toll jungsteam absolut profi bereich gästen lächeln gesicht zaubern;5.0;2022-10-19 00:14:21.260581
172;eröffnung freuen probiert wissen echt neapolitanisch pizza gut pizza breit;5.0;2022-10-19 00:14:21.260593
173;geschmacklich reservieren gestern sitzen teilweise anstellen selbstbedienung;3.0;2022-10-19 00:14:21.260606
174;leck pizz toll ambiente;5.0;2022-10-19 00:14:21.260617
175;gut pizza raum gibts pizza ordentlich belegen schmecken fantastisch aussehen geschmack bedienung super nett strukturieren bisschen;5.0;2022-10-19 00:14:21.260629
177;neapolitan pizza fast;5.0;2022-10-19 00:14:21.260651
179;abholen bestellen pizza test anrufen hinweg anruf entgegengenommen schade;1.0;2022-10-19 00:14:21.260674
180;gut pizza geschmack nett service schön location lokal stunde drinnen verbringen pizza allemal wert;5.0;2022-10-19 00:14:27.188469
181;gut pizza;5.0;2022-10-19 00:14:27.188529
183;just;1.0;2022-10-19 00:14:27.188553
187;pizz mitarbeiter freundlich;5.0;2022-09-19 00:14:27.188601
191;laden zeitverschwendung pizza zutat;3.0;2022-09-19 00:14:33.141128
192;gut pizza;5.0;2022-09-19 00:14:33.141141
193;super essen musik;4.0;2022-09-19 00:14:33.141154
195;pizza lecker service;4.0;2022-09-19 00:14:33.141178
196;einfach gut pizza;5.0;2022-09-19 00:14:33.141191
199;pizza schmecken teig schön fluffig gut pizza umgebung gegessen;5.0;2022-09-19 00:14:33.141230
200;superbro;5.0;2022-09-19 00:14:39.005728
201;geschmacklich pizz gegessen preislich sehen;5.0;2022-09-19 00:14:39.005794
209;giv oven;3.0;2022-09-19 00:14:39.005903
211;handwerklich karte lesen ungewohnt;5.0;2022-09-19 00:14:44.993819
212;gut pizza;5.0;2022-09-19 00:14:44.993834
213;super lecker pizza bier schmecken gerne;5.0;2022-09-19 00:14:44.993847
214;tastes super mean;5.0;2022-09-19 00:14:44.993861
215;gut pizza gegessen pizz gegessen empfehlung;5.0;2022-09-19 00:14:44.993875
217;gut pizza letzter woche locker mithalten;5.0;2022-09-19 00:14:44.993902
218;bislang gut neapolitanisch pizza gegessen;5.0;2022-09-19 00:14:44.993916
220;pizza fair preis fall empfehlen;5.0;2022-09-19 00:14:51.118104
221;gut margherita gegess nutella-pizza ebenfalls lecker person freitag problem tisch bekommen;5.0;2022-09-19 00:14:51.118164
223;chicken snack;5.0;2022-09-19 00:14:51.118193
227;traumhaft lecker sensationell;5.0;2022-08-20 00:14:51.118249
229;neapolitan;4.0;2022-08-20 00:14:51.118277
230;kreativ vegan pizz;4.0;2022-08-20 00:14:57.200263
231;lieb neapolitanisch pizza gegessen super bieten pizz schön ambiente wartezeit dauern pizza unbedingt probieren;3.0;2022-08-20 00:14:57.200335
235;gut pizza neapolitanisch pizza perfektion;5.0;2022-08-20 00:14:57.200396
237;pizzateig genau gebacken belag üppig geschmacklich;5.0;2022-08-20 00:14:57.200425
242;leck pizza;5.0;2022-08-20 00:15:03.344299
243;pizzabod durchgeweicht ansonsten belag;3.0;2022-08-20 00:15:03.344314
244;pizza laden nett personal;4.0;2022-08-20 00:15:03.344330
249;wartezeit;2.0;2022-08-20 00:15:03.344407
250;gut teig;5.0;2022-08-20 00:15:09.721334
251;service brings pizza;4.0;2022-08-20 00:15:09.721403
254;definitiv besuch wert pizz schmecken toll bedienung ebenfalls schnell lang minute essen warten unbedingt probieren;5.0;2022-07-21 00:15:09.721452
258;begeistern momentaner favorit pizza betreffen;5.0;2022-07-21 00:15:09.721517
259;leck pizza ambiente selbstbedienung draußen sitzen;4.0;2022-07-21 00:15:09.721533
260;seltsam unlustig location empfindung entfernt professionell gelernt service dienstleistung;1.0;2022-07-21 00:15:16.116027
261;maybe;5.0;2022-07-21 00:15:16.116103
264;freundlich sympatisch lecker gibts sagen;5.0;2022-07-21 00:15:16.116153
265;pizza;5.0;2022-07-21 00:15:16.116170
266;pizz gegessen pizza schmecken teig belag lokal empfehlen;5.0;2022-07-21 00:15:16.116186
267;stosszeiten super mittlerweile empfehlen schade gerne kommen pizza fehlen zutat pizza nummer;3.0;2022-07-21 00:15:16.116203
268;warten pizza nass verstehen hype;1.0;2022-07-21 00:15:16.116220
269;minute kassierer stehen beantwortet bestellung bedienen kunde sobald freundlich ausländern;1.0;2022-07-21 00:15:16.116237
271;pizz bestellen matschig teig fast einfach unappetitlich geschmacklich stück reingezwung raus;1.0;2022-07-21 00:15:22.631604
273;location;5.0;2022-07-21 00:15:22.631639
282;waiting;2.0;2022-07-21 00:15:28.850123
283;roughly;1.0;2022-07-21 00:15:28.850141
285;klasse garten verkehrsberuhigt zone echt anwohner beschwerd;5.0;2022-07-21 00:15:28.850176
287;gut pizza pizza schlaflos;4.0;2022-06-21 00:15:28.850211
289;pizza location angenehm relativ zügig service höflichkeit kasse bekannt begriff;3.0;2022-06-21 00:15:28.850247
290;gut pizza;5.0;2022-06-21 00:15:41.107399
291;pizza teig;5.0;2022-06-21 00:15:41.107476
293;essen hervorragend gerne vorbeikommen;5.0;2022-06-21 00:15:41.107515
296;definitiv pizz super teig belegen fair preis;5.0;2022-06-21 00:15:41.107571
300;hervorragend pizza variante qualität steinofen backen freundlich personal;5.0;2022-06-21 00:15:41.107646
301;gefall einrichtung hipp neapolitanisch pizza passend umgebung nochmal kommen schauen rein;5.0;2022-06-21 00:15:41.107666
303;bedürfen wort super weltmeister;5.0;2022-06-21 00:15:41.107704
304;probably popular;5.0;2022-06-21 00:15:41.107723
305;lang pizza preis italienisch herz wein lassen.völlig utopisch preis teig echt nachlassen;3.0;2022-06-21 00:15:41.107742
306;gut pizza freundlich nett;5.0;2022-06-21 00:15:41.107761
309;pizza qualitativ hochwertig geld wert finden kleinkariert großstadt angemessen karte zahlen;3.0;2022-06-21 00:15:41.107820
314;resturent super cool;5.0;2022-05-22 00:15:48.117449
316;gut pizza;5.0;2022-05-22 00:15:48.117488
317;bezahlen warten personal insgesamt frech unfreundlich servicewüste bleiben unberührt;1.0;2022-05-22 00:15:48.117507
319;best neapolitan;5.0;2022-05-22 00:15:48.117546
321;hype nachvollziehen laden schön italienisch flair bestellen pizza nebenan essen pizza minute warten;3.0;2022-05-22 00:15:54.552313
325;traditional;5.0;2022-05-22 00:15:54.552394
326;pizza originell lecker;5.0;2022-05-22 00:15:54.552414
327;pizz gegessen;5.0;2022-05-22 00:15:54.552434
330;favorite;5.0;2022-05-22 00:16:01.096577
331;leck pizza vegananen toll;5.0;2022-05-22 00:16:01.096677
333;gut pizza empfehlen öfter sehen leute bedienung warten direkt theke bestellen;5.0;2022-05-22 00:16:01.096720
334;gut pizza location;5.0;2022-05-22 00:16:01.096741
338;gut pizza gegessen;5.0;2022-05-22 00:16:01.096825
342;neapolitanisch pizza kreativ beläge zutat abends meistens wartezeit einstellen lohnen;5.0;2022-05-22 00:16:07.860266
346;neapolitan;5.0;2022-05-22 00:16:07.860352
349;schmegga empfehlen;5.0;2022-05-22 00:16:07.860416
350;überragend pizza nett service;5.0;2022-04-22 00:16:14.388534
351;gut pizza frage laden lang verweilen vorher wissen;5.0;2022-04-22 00:16:14.388628
353;leck pizz angenehm atmosphäre;5.0;2022-04-22 00:16:14.388675
356;gut pizza kreis;5.0;2022-04-22 00:16:14.388745
357;leckerst pizz gegessen absolut empfehlung;5.0;2022-04-22 00:16:14.388768
358;gut pizza leben gegessen;5.0;2022-04-22 00:16:14.388792
359;teig komplett zutat pizza schmecken merken qualität wünschen lässt neapolitanisch pizza;1.0;2022-04-22 00:16:14.388815
365;decency;1.0;2022-04-22 00:16:21.468920
371;gut pizzeria umkreis qualität herrausragend geschmack restaruant charm musik platz defintiv lokal;5.0;2022-04-22 00:16:34.501535
374;super lecker;5.0;2022-04-22 00:16:34.501606
377;authentisch italiener bekommen außergewöhnlich pizza essen brauchen geduld sitzmöglichkeit akzeptieren barzahlung;5.0;2022-03-23 00:16:34.501675
378;range pizzas;4.0;2022-03-23 00:16:34.501699
379;pizza musik lokal unerträglich gedanke hören leute essen stern;3.0;2022-03-23 00:16:34.501722
382;super lecker umsonst gut;4.0;2022-03-23 00:16:34.501792
384;super frisch lecker;5.0;2022-03-23 00:16:34.501839
386;pizza hervorragend mitarbeiter freundlich gemütlich essen schmecken mega lecker;5.0;2022-03-23 00:16:34.501887
387;pizze laden liegen direkt oed laden überschaubar herrschen gemütlich atmosphäre einzig stören tisch reservieren voll;4.0;2022-03-23 00:16:34.501911
388;super;5.0;2022-03-23 00:16:34.501935
390;taste;4.0;2022-03-23 00:16:41.604317
391;super lecker pizza;5.0;2022-03-23 00:16:41.604418
393;gehören pizzeri stadt großartig auswahl pizzen super freundlich service gerne;5.0;2022-03-23 00:16:41.604467
395;pizza;5.0;2022-03-23 00:16:41.604515
396;super stark pizza boden rand belag traum 5von5n stern;5.0;2022-03-23 00:16:41.604539
399;pizza better stehen helfen;3.0;2022-03-23 00:16:41.604611
403;super;5.0;2022-02-16 00:16:48.715760
405;pizza klar lokal;5.0;2022-02-16 00:16:48.715808
408;besucht neapolitanischer lecker empfehlenswern jederzeit;5.0;2022-02-16 00:16:48.715881
414;hervorragend pizzeria weiterempfehl eindruck direkt positiv ladenöffnung menschenmenge stehen direkt zeichen direkt;5.0;2022-02-16 00:16:55.760832
415;best;5.0;2022-02-16 00:16:55.760856
416;mega geil;5.0;2022-02-16 00:16:55.760881
417;super lecker pizza schön ambient authentisch personal;5.0;2022-02-16 00:16:55.760906
419;empfehlen schlecht service;1.0;2022-02-16 00:16:55.760955
422;letzter woche gast superbro pizza boden teig verbrennen ecker schwarz pizza passieren;3.0;2022-02-16 00:17:02.843621
426;best vegan;5.0;2022-02-16 00:17:02.843733
427;pizza bestellen pizza super service echt öfter vergessen warten musik extrem super;3.0;2022-02-16 00:17:02.843760
428;restaurant schnell relativ nett service schnell sehen bild rustikal italienische fehlen;3.0;2022-02-16 00:17:02.843788
430;lieblingspizzeria geschmacklich gestern tisch person draußen warten lang 25min super expansion denken sitzgelegenheiten;3.0;2022-02-16 00:17:10.284968
431;hype verstehen service gibt's eigentlich rand essen begeistert belag frisch lecker bekommen pizzerien;2.0;2022-02-16 00:17:10.285084
434;leck napoleonisch pizza sogar vegan option;5.0;2022-02-16 00:17:10.285163
435;selbstbedienung teuer essen;3.0;2022-02-16 00:17:10.285189
437;abstand gut pizza gegessen biss erinnerung urlaub kindheit schwelgen lassen;5.0;2022-02-16 00:17:10.285242
