;caption;rating;timestamp
0;Sogar die kleine pommes hier richtig nice.  (Translated by Google) Even the small fries here are really nice.;5.0;2023-02-26 19:57:17.189208
1;Der Döner ist nicht umsonst als einer der besten in Düsseldorf bezeichnet.  Bei jeden Besuch in Düsseldorf ein Muss, zu Tag und zu Nacht! …;5.0;2023-02-25 19:57:17.189326
2;;5.0;2023-02-25 19:57:17.189331
3;;5.0;2023-02-24 19:57:17.189333
4;Very good, one of the best i had in Germany. Fair price, they are very nice people attending and was really fast. I had a durum and was really good, the bread, the salad, the meat and the sauces, all perfect, fresh and delicious.;5.0;2023-02-23 19:57:17.189336
5;(Translated by Google) It is quite filling and reasonably priced. Quite satisfying. and affordable too …;5.0;2023-02-23 19:57:17.189338
6;;5.0;2023-02-23 19:57:17.189340
7;Hatte mal vor Jahren Lebensmittelvergiftung davon. Seitdem verstehe ich den Hype nicht  (Translated by Google) Got food poisoning from it years ago. Since then I don't understand the hype;1.0;2023-02-22 19:57:17.189343
8;;5.0;2023-02-20 19:57:17.189345
9;Kann den meisten Rezensionen hier nur zustimmen. Der mit Abstand beste Döner in Düsseldorf. Immer frisch, immer lecker. Sowohl Kalb, als auch Hähnchen. Des Weiteren gibt es noch weitere, leckere Teigwaren als Snacks. Das Personal ist auch immer gut drauf und mega freundlich.  (Translated by Google) I agree with most of the reviews here. By far the best doner kebab in Düsseldorf. Always fresh, always delicious. Both veal and chicken. There are also other delicious pasta dishes available as snacks. The staff is always in a good mood and super friendly.;5.0;2023-02-20 19:57:17.189348
10;;5.0;2023-02-20 19:57:17.189351
11;Gerade dort gewesen, sehr freundlich und auf das Wohl der Kunden bedacht! Dönerbude mit Kräuter und roter Soße gemischt war super lecker! Nur zu empfehlen 🤗 …;5.0;2023-02-20 19:57:17.189354
12;Bester Döner in Düsseldorf 😬 Leeeeecker ❤️ …;5.0;2023-02-20 19:57:17.189357
13;;5.0;2023-02-13 19:57:17.189360
14;Das Dönerfleisch wurde nicht frisch vom Spieß geschnitten. Es lag geschnitten kalt bereit. Auch auf Nachfrage wurde kein warmes Fleisch hinzugefügt. Diesen Laden werde ich nicht wieder besuchen. …;2.0;2023-02-13 19:57:17.189363
15;Fast delicious food, friendly staff, accept international cards;5.0;2023-02-13 19:57:17.189366
16;;5.0;2023-02-13 19:57:17.189369
17;;5.0;2023-02-13 19:57:17.189372
18;;5.0;2023-02-13 19:57:17.189375
19;Mit das beste Hähnchenfleisch was ich je gegessen habe. Wartezeit gibt es gefühlt nicht da die bedienung sehr kompetent und freundlich ist. Jedesmal wenn ich in düsseldorf bin muss ich mindestens ein mal hierher …;5.0;2023-02-06 19:57:17.189378
20;Great döner, no matter what type of meat you prefer. Sit outside and you can watch birds as you eat.;5.0;2023-02-06 19:57:22.518917
21;;5.0;2023-02-06 19:57:22.518944
22;Leider bricht die Qualität mit der zeit ein, früher viel besser als heute …;4.0;2023-02-06 19:57:22.518949
23;Schlechter Döner, Kalbfleisch ist einfach nur ekelhaft und Brot war verbrannt  (Translated by Google) …;1.0;2023-02-06 19:57:22.518952
24;;1.0;2023-02-06 19:57:22.518956
25;schmeckt super lecker 👍🏼  (Translated by Google) tastes super delicious 👍🏼 …;4.0;2023-02-06 19:57:22.518960
26;Schöner Laden, leckerer Döner, schnell zubereitet und freundlicher Service!  (Translated by Google) …;5.0;2023-01-30 19:57:22.518963
27;(Translated by Google) 5/4.2  The place is in the center. It tastes like a standard German doner with plenty …;4.0;2023-01-30 19:57:22.518967
28;;5.0;2023-01-30 19:57:22.518971
29;(Translated by Google) The best and the only place I've ever eaten in my life where I couldn't finish the portion. …;5.0;2023-01-30 19:57:22.518975
30;;1.0;2023-01-30 19:57:28.057251
31;Certainly the doner & portion of energy I needed after walking 30km today - it's tasty, the sauces are great, prices are greater. Meat could be improved a bit (slightly more condiments) but overall a great experience. …;5.0;2023-01-30 19:57:28.057281
32;;5.0;2023-01-30 19:57:28.057286
33;;5.0;2023-01-28 19:57:28.057290
34;Ein sehr leckerer saftiger und knuspriger Döner. Der laden ist klein und fällt nicht sofort auf aber der Döner schmeckt. Vom Geschmack her ist er leider nicht von anderen abweichend aber er macht satt. …;3.0;2023-01-28 19:57:28.057294
35;Hatte oft gehört,dass das der Beste Döner in Düsseldorf ist aber leider war der Döner eine Enttäuschung. …;2.0;2023-01-28 19:57:28.057297
36;Great kebab 👍👏 …;5.0;2023-01-28 19:57:28.057301
37;Laut Meinung vieler soll Dene & Gör den besten Döner Düsseldorfs liefern. Ein Armutszeugnis für die Stadt Düsseldorf, wenn dies wirklich so sein sollte. Zunächst sei gesagt, dass am Fleisch nicht gespart wird. Optimal also, wenn man vom …;2.0;2023-01-28 19:57:28.057305
38;Dürüm (Rind) war ok. Lavas nicht selbstgemacht.  (Translated by Google) Dürüm (beef) was ok. Lavas not homemade.;3.0;2023-01-28 19:57:28.057308
39;Unglaublich guter Döner sehr gute Portion und mega sossen fleisch auch sehr nice man kann sagen der perfekte Döner😌 muss man probieren …;5.0;2023-01-28 19:57:28.057312
40;Schmeckt lecker.  (Translated by Google) Tastes delicious.;4.0;2023-01-28 19:57:33.807599
41;Super Preis, super Team. Bestellung ging fix. Alles frisch zubereitet. Die Jungs haben immer gute Laune. Sehr zu empfehlen. Für 6 € satt und zufrieden. Weiter so 👍 …;5.0;2023-01-28 19:57:33.807633
42;I visited multiple times until now. They are very friendly and always offer fresh, tasty food.;5.0;2023-01-28 19:57:33.807637
43;Wie immer gut  (Translated by Google) Good as always;5.0;2023-01-28 19:57:33.807642
44;;5.0;2023-01-28 19:57:33.807646
45;Döner is good enough .;5.0;2023-01-28 19:57:33.807650
46;Überall probiert, aber nichts toppt euch. Kunde bei euch seit 20 Jahren 🫡  (Translated by Google) …;5.0;2023-01-28 19:57:33.807654
47;5 Sterne werden diesem Döner nicht ansatzweise gerecht! Selten habe ich einen so guten Döner gegessen. Sehr nettes und schnelles Personal. Einfach crazy gut!! …;5.0;2023-01-28 19:57:33.807658
48;;5.0;2023-01-28 19:57:33.807663
49;;5.0;2023-01-28 19:57:33.807667
50;Ate here in 2019 and again in 2023. Tasted just as good in 2023. Huge portions at affordable prices. Both the chicken and beef Doner were delicious. Highly recommended for a quick and full bite.;5.0;2023-01-28 19:57:39.272790
51;Sehr sehr guter Döner. Einziger Dönerladen den ich in Düsseldorf je ausprobieren musste, weil direkt alles gestimmt hat. …;5.0;2023-01-28 19:57:39.272836
52;Döner ist ganz ok, große Portion. Fleisch trocken… Sicherlich nicht der beste Döner der Stadt. Noch nicht mal in den TOP 10… …;2.0;2023-01-28 19:57:39.272841
53;Billigster Hackdreck für überteuerten Preis  (Translated by Google) Cheapest hack dirt for overpriced price;1.0;2023-01-28 19:57:39.272846
54;;5.0;2023-01-28 19:57:39.272851
55;Absolutely delicious! Very good quality of meat, generous portions and very friendly service!;5.0;2023-01-28 19:57:39.272856
56;Best kebap in Düsseldorf. A must try.;5.0;2023-01-28 19:57:39.272860
57;Essen teuer geworden  (Translated by Google) food has become expensive;1.0;2023-01-28 19:57:39.272865
58;Der Geschmack des Döners ist nach unten gegangen,die Preise nach oben.Früher sah der Döner wirklich gut aus und schmeckte auch gut,bei meinem letzten Besuch war es eher mau bis schlecht.Ob ich hier nochmal einen Döner esse,sehr …;2.0;2023-01-28 19:57:39.272870
59;;4.0;2023-01-28 19:57:39.272875
60;Guter Döner angenehme würzige schärfe saftiges Fleisch, beim Essen im Restaurant ist jedoch wenig Platz und man muss sich selbst im Spiegel sehen das ist sehr schade weil ich leider sehr hässlich bin. …;4.0;2023-01-28 19:57:44.384448
61;;4.0;2023-01-28 19:57:44.384485
62;;5.0;2023-01-28 19:57:44.384491
63;(Translated by Google) Tried and Saw, Great late night Food!  (Original) …;5.0;2023-01-28 19:57:44.384496
64;;5.0;2023-01-28 19:57:44.384502
65;;5.0;2023-01-28 19:57:44.384507
66;;5.0;2023-01-28 19:57:44.384512
67;;5.0;2022-12-29 19:57:44.384518
68;;5.0;2022-12-29 19:57:44.384524
69;;3.0;2022-12-29 19:57:44.384530
70;Great fresh quality doner, durum and turkish pizza.;5.0;2022-12-29 19:57:49.532271
71;Bester Döner. Ich war heute zum Weihnachtsfrühstück mit meinen Stadion Kollegen hier essen. …;5.0;2022-12-29 19:57:49.532310
72;Bester Döner Laden der Welt  (Translated by Google) Best kebab shop in the world;5.0;2022-12-29 19:57:49.532317
73;Ich habe bisher nur 2 Döner Buden in Düsseldorf gefunden, die top sind und Dene & Gör ist einer davon. Ich bin jemand der üblicherweise viel essen kann und dieser Dürüm bzw Döner macht sogar mich satt. Unglaublich viel Fleisch! Zudem ist …;5.0;2022-12-29 19:57:49.532323
74;Es gibt keine Handwaschgelegenheit für die, die hier essen, keine Desinfektion, keine Feuchttücher und keine Zahnstocher.  Nicht gut... …;1.0;2022-12-29 19:57:49.532329
75;;5.0;2022-12-29 19:57:49.532336
76;(Translated by Google) friendly staff but below average taste  (Original) …;2.0;2022-12-29 19:57:49.532342
77;;4.0;2022-12-29 19:57:49.532349
78;Super Lecker!  (Translated by Google) Delicious!;5.0;2022-12-29 19:57:49.532356
79;Super central, cheap and lot of food also delicious;5.0;2022-12-29 19:57:49.532362
80;(Translated by Google) oh my gosh bester laden  (Original) eywa vallah bester laden;5.0;2022-12-29 19:57:54.797113
81;;5.0;2022-12-29 19:57:54.797151
