;caption;rating;timestamp
0;Ganz solide Pizza. Leider wie alles overrated und overpriced!  ;4.0;2023-02-01 22:47:24.003889
1;;5.0;2023-02-01 22:47:24.003938
2;What is not to like? Pizza? Good! Wine? Good? Nice people? Good!  Waiting time at the entrance is about 15-20 minutes. Orders are made at the COUNTER, don’t wait for the menu.;5.0;2023-01-29 22:47:24.003962
3;;5.0;2023-01-28 22:47:24.003967
4;Mega leckere Pizza. Einer der besten Frankfurts.  ;5.0;2023-01-28 22:47:24.003970
5;Phänomenale Pizza wie in Italien!  ;5.0;2023-01-28 22:47:24.003972
6;sehr voll und man muss eventuell schlange stehen aber sobald man sitzt ist alles super. netter service und essen ist IMMER top!! …;5.0;2023-01-28 22:47:24.003975
7;;5.0;2023-01-27 22:47:24.003977
8;;5.0;2023-01-26 22:47:24.003980
9;Absolutely fantastic pizza. This is definitely one of the best if not the best pizza places in Frankfurt. They were fully packed on a weeknight so reservations are highly recommended.;5.0;2023-01-26 22:47:24.003984
10;Sehr chillige Pizzeria! Immer gute Laune der Angestellten ,fast schon partymäßig! Pizza,Mega ! …;5.0;2023-01-26 22:47:24.003987
11;Hands down, best pizza in town.;5.0;2023-01-26 22:47:24.003990
12;;5.0;2023-01-26 22:47:24.003993
13;;5.0;2023-01-26 22:47:24.003996
14;;5.0;2023-01-26 22:47:24.003999
15;Sehr geil  ;5.0;2023-01-26 22:47:24.004002
16;"Super leckere, gute belegte Pizza. Extrem dünn in der Mitte, dafür dicker fluffiger Rand. ""Normale"" deutsche Sorten (z.B. Hawaii) sucht man hier vergeblich, aber das ist auch gut so! Das hier ist deutlich italienischer. …";5.0;2023-01-19 22:47:24.004005
17;;5.0;2023-01-19 22:47:24.004008
18;;5.0;2023-01-19 22:47:24.004011
19;Die Pizzen sind sehr Lecker, leider ist die Wartezeit grade in Stichzeiten recht lang (ca. 1std). Im Sommer kann man schön draußen sitzen, drinnen ist die Musik leider sehr laut. …;4.0;2023-01-19 22:47:24.004015
20;;4.0;2023-01-19 22:47:29.693952
21;Gehört zu den besten Pizza Restaurants in Frankfurt. Sehr lecker!  ;5.0;2023-01-19 22:47:29.693979
22;Absolutely fantastic;5.0;2023-01-19 22:47:29.693983
23;;5.0;2023-01-19 22:47:29.693987
24;Pizza Mozarella. Frische Zutaten. Der Boden aber zu labbig, dafür am Rand reichlich Teig. Die Wartezeit war kurz. Für den stolzen Preis ein durchwachsenes Produkt. …;3.0;2023-01-12 22:47:29.693991
25;This place is just perfect! Best pizzas in Frankfurt, amazing vibes 😁 …;5.0;2023-01-12 22:47:29.693995
26;Die beste Pizza die ich je in Deutschland kosten durfte. Eine Top Servierte Neapolitanische Pizza. Preis Leistung auch sehr gut. …;5.0;2023-01-12 22:47:29.693998
27;;5.0;2023-01-12 22:47:29.694002
28;Wenn man traditionell italienische Pizza möchte ist man hier genau richtig. Das Essen muss man selbst an der Theke bestellen. Auch für Veganer geeignet. …;4.0;2023-01-12 22:47:29.694006
29;;4.0;2023-01-12 22:47:29.694010
30;Die leckerste Pizza der Stadt! Tolles Ambiente 💙  ;5.0;2023-01-12 22:47:34.706010
31;Definitiv die beste Pizza in Frankfurt! Die Pizza schmeckt genau so wie man sich eine originale neapolitanische Pizza vorstellt! Waren schon oft da, mussten nie lange warten und die Pizza war jedes mal genial. …;5.0;2023-01-12 22:47:34.706036
32;Super leckere Pizza! Wir kommen wieder!  ;5.0;2023-01-12 22:47:34.706041
33;;4.0;2023-01-12 22:47:34.706046
34;Super leckere Pizzen in stylisher, trubeliger Atmosphäre. Familär. Super nette Super Bro's eben. …;5.0;2023-01-05 22:47:34.706050
35;Sehr leckere Pizza Wäre toll wenn es Mittags offen hätte …;4.0;2023-01-05 22:47:34.706054
36;;5.0;2023-01-03 22:47:34.706059
37;die beste pizza in frankfurt und super liebes personal  ;5.0;2023-01-03 22:47:34.706062
38;Nach der Pizza merkt man nicht, dass man eine gegessen hätte. Keine Völlegefühle oder sonstigen Symptome. Das liegt daran, dass der Teig drei Tage lang geht. …;5.0;2023-01-03 22:47:34.706066
39;Wir wollten für Freitag Abend 11 Pizzen bestellen und habe dafür extra ein paar Tage vorher angerufen, um dann keine Probleme zu haben. Leider wusste am Freitag dann niemand mehr über unsere Absprachen Bescheid, sodass wir am Ende über wolt …;2.0;2023-01-03 22:47:34.706070
40;Nice pizza , wine , very friendly, self service! Three brothers doing great job . So far very perfect in Frankfurt. Try it;5.0;2023-01-03 22:47:39.965180
41;Die beste Pizzeria im Umkreis um Frankfurt! Der Geschmack sowie die Qualität ist super. Leider ist das Restaurant für den hohen Andrang zu klein und man muss oft sehr lange auf die Köstlichkeit warten. Schade, dass man nicht reservieren …;4.0;2023-01-03 22:47:39.965208
42;Awesome Pizza;5.0;2023-01-03 22:47:39.965213
43;;5.0;2023-01-03 22:47:39.965217
44;Firstly, this place only accepts cash and German debit cards (obviously not an option for tourists), like it's 2005 again. Which is a shame because the staff were really good and the pizzas were amazing. …;3.0;2023-01-03 22:47:39.965221
45;They’re doing the best Napolitan Pizza 🍕 in Frankfurt. Their specialty Super Bro’s Pizza is a must to try it. You do not need a reservation for any time. You can order the Pizza and visit …;5.0;2023-01-03 22:47:39.965226
46;;5.0;2023-01-03 22:47:39.965230
47;Wahnsinnig tolle Pizza so lecker 🥰  ;5.0;2023-01-03 22:47:39.965234
48;;5.0;2023-01-03 22:47:39.965239
49;absolut lecker!  ;5.0;2023-01-03 22:47:39.965243
