;caption;rating
0;mega cooles ambiente konzept bürger geschmacklich lecker bürger individuelle bedürfnisse anpassen allergien vegetarisch;4.0
1;super sympathische mitarbeiter freundliche gemütliche atmosphäre fantastisches essen sicher öfter;5.0
2;nenne burger schicki-micki gerne burgerladen dortmund hüstel absoluter kult maestro tozzi gedicht gegend space burger lupo beides einfach kult;5.0
3;gestern dritt selben burger bestellt gestern abend magen darm burger lecker irgendetwas schmeckte komisch erwartet;1.0
4;fanden burger restaurant klasse individuelle möglichkeiten zudem fleischlose alternativen ambiente zeitsprung vergangenheit kartenzahlung heutzutage zeitgemäß;4.0
5;burgerladen bester service woche 10min burger gewartet empfehle laden;5.0
6;lecker burger fairen preis coolen ambiente kartenzahlung garnicht;4.0
7;nice burger good service;5.0
8;leckere burger länger drauf gewartet rahmen;4.0
9;auswahl vegetarier;3.0
10;lecker;5.0
11;many options vegetarians quality consistent ever;4.0
12;freundliche bedienung klasse auswahl fleischig komplett vegan kulinarisch kompetent zubereitet;5.0
13;sterne milchshake kombination speise bestellbar;4.0
14;stunde essen warten enttäuscht essen lecker veganer vegetarier bedienung vorschlag preis aufgrund bescheidenen services;2.0
15;very nice service;5.0
16;kreative auswahl lecker dauert essen;4.0
17;mehreren freundinnen tisch reserviert bemerkt min. spät angerufen fragen problem unfreundlich;1.0
18;esse gerne burger liebsten space burger laden mittags abend bestelle gerne schlechten erfahrungen burger;5.0
19;really good burgers please advised that this popular place experience some waiting times;5.0
20;super nettes ambiente tolle atmosphäre laut versteht wort getränke super schnell tisch essen geschmack überragend solch leckere burger;5.0
21;mega leckere burger nette bedienung burger d-dorf;5.0
22;schlechtester laden extra vorher angerufen tisch reserviert reservierung fragten person gestern reservierung entgegen genommen;1.0
23;handgemachte burger vegetarischen varianten- lecker gast spricht fast;4.0
24;frau warteten minuten bestellung aufgenommen minuten bekamen getränke pärchens tische minuten bekamen;1.0
26;kalter burger toll;2.0
30;super nettes personal erstklassige burger witziges ambiente viert begeistert grund düsseldorf fahren;5.0
31;burger lecker schnell;4.0
32;jahrzehnten eher sogar länger lieblingslokale stadt verstehe schnell schweren;5.0
33;witzig eingerichtetes restaurant lockeren servicemitarbeitern karte interessant gestaltet burger schmeckten bislang könnten preiskategorie größer sparmenüs;4.0
34;essen unfreundlich restaurant behandelt denken versteckte kamera bestellung rasch aufgenommen;2.0
35;cooles ambiente leckere burger pommes fairen preisen schlechter service wartet insbesondere abends;3.0
36;super tasty burgers;5.0
37;bester burger lebens liebe jeglichn baustein ausgewählt stammkunde love;5.0
38;burger super interieur überarbeitet eigentlich .... barzahlung drängen komische gedanken zahlungsart;4.0
39;leckere auswahl burger auswahl getränken inklusive indian pale ales;5.0
40;liebevoll gestalteter burger laden gefallen burger vegane vegetarische variante bestellen gerne nochmal;5.0
41;burger total lecker ausgefallen klassiker überraschend leckeren burgern überall bekommt speisekarte kreativ gestaltet;5.0
42;disclaimer vegetarian connoisseur burgers with that said visited them saturday noon place pretty empty much going around probably because raining hell that ordered avocado;5.0
43;trashiges interieur trifft crazy lecker thing called burger irritiert mitarbeiter nett essen lecker bitte lest dringend geschichte speisekarte;5.0
44;lecker preis;5.0
45;finde burger places town umgebung;5.0
46;very good best burger ever tasted;5.0
48;burger nachos einfach euro tüte;3.0
51;leckere burger portion pommes getränk lunch menü definitiv fündig klein preis /leistungsverhältnis stimmt personal freundlich definitiv empfehlen;5.0
52;more than nice vegan meal good fries;3.0
53;super burger;5.0
54;speisekarte unübersichtlich burger gurken bestellt fleisch enthielt mehrere knorpel vergeht appetit burger eher langweilig geschmack soße;1.0
55;super super super lecker teuer einzigartig unglaublich riesige auswahl burgern menge geld lassen;5.0
56;awesome burgers great vegan menus atmosphere cool staff pretty attentive speak good english;5.0
57;vegane burger vegane mayo hammer;5.0
58;vegane burger beyond meat pervers;5.0
59;burger stern schwierige auswahl karte langen beschreibungen;4.0
60;taste really nice;5.0
61;toller burgerladen ausgefallene kreationen definitiv vegetarisch vegan findet karte;4.0
62;crazy diner loved variation burgers choose them atmosphere great recommend every burger lover just very sauce killer;5.0
63;best hamburger world;5.0
64;super auswahl burger beyond meat vegan hähnchen rind bestellen schnecken meistens wunderbar schwankt bisschen;4.0
65;einfach gelungen bestellung schnell aufgenommen essen einfach geschmack cheeseburger fleisch zutaten drauf ketchup mayo lecker schmorzwiebeln käse einfach;5.0
66;veganer super leckerer burgerladen;4.0
67;unfreundlich service;1.0
69;great food kind waitresses funny decorations menu;5.0
70;drauf gefreut trotz beinahe leerem ladenlokal lage tisch steckdose aufladen handys anzubieten gereizter stimmung sehen;1.0
71;super leckere burger schnelle bedienung karte bietet auswahl burgerliebhaber kosten preise angemessen;5.0
72;bürger laden richt kommisch bürger;1.0
73;super service super essen prima preise bestens;5.0
75;leckere burger frisch tolles ambiente;5.0
76;extrem leckere burger freundliches personal;5.0
77;space burger frisch selbstgemacht voll besuchtes restaurant wochenende längere;4.0
78;laden empfehlen;1.0
79;burger trocken hommade ...... falsche bestellung bekommen kellnerin einzige wusste gastronomie arbeitet freundlich männlichen kellner scheinen lustlos .....;2.0
80;essen nette location service könntest aufmerksamer bzgl. weiterer getränkenestllungen okay;4.0
81;very cool burger restaurant with loads choices almost every burger switched vegetarian vegan version restaurant interestingly decorated which like;5.0
82;they make great burgers staff unbelievably lazy;4.0
83;leckere burger freundliches personal wirkt chaotisch vernachlässigbar gerne;5.0
84;sogar burger restaurants düsseldorf super ausgefallenes interieur guten guten hamburger-sortiment;4.0
85;loved their menu;5.0
86;super leckerer burger beef variante chicken veggie burgers schärfe stufe lässt fall essen nächsten;5.0
87;sauberes burgerrestaurant nette bedienung angenehme atmosphäre leckere burger gehe gerne;5.0
88;burger danke;5.0
89;burger pommes lecker punkt restaurant weiterempfohlen burger freund rohe avocado;1.0
90;lecker;5.0
91;leckere burger eistee empfehlen burger beklagen service schnell ec-zahlung;4.0
92;leckere burger nettes personal komme gerne lecker;5.0
93;table outside waiter very friendly attentive water bowl food excellent loved unique concept overall great experience;5.0
94;cool lieferzeiten minuten frühen sonntag nachmittag scheinen völlig normal;2.0
95;burger pommes feinsten cooles ambiente bedienung freundlich;5.0
96;different burger options they okey can't with credit card;3.0
98;einfach super anlässlich japan-tags empfehlen;5.0
99;auswahl leckeren burgern meisten vegan erhältlich ebenfalls selbstgemachte shakes limonaden empfehlen;5.0
100;leckere burger empfehlen;5.0
101;netter laden burger lecker;4.0
102;burger allerfeinsten tolle variationen frische zutaten bestes beef leckere pommes saucen tolle drinks iceteas absolute empfehlung;5.0
103;auswahl burgern getränken;4.0
104;eindruck blick speisekarte positiv burger ziemlich kreativ außergewöhnlich geschmacklich eher enttäuschung konkreten burgerwahl gelegen;3.0
105;schönes ambiente freundliche bedienung essen fairen preis;4.0
106;preis leistungsverhältnis 11,90 buegermenu inkl. pommes hausgemachter limonade burger schmeckt absolute oberklasse portion pommes größte perfekte menge;4.0
109;bester laden düsseldorf soße burger;4.0
110;bedienung smartphone wichtiger kunden dauerte bestellung;4.0
111;best burgerrrss ever everything else really nice service stuff;5.0
112;burger eigentlich ding bekommen hervorragend vergleich üblichen burgerbuden kompliment küche service;5.0
113;geschmeckt schnecke burger gesehen übel nacktschnecke teller kriechen gesehen;1.0
114;langer langer pause space burger altstadt vorweg nehmen fanden selbstgemachte limo country pommes chili mayo boten guten;5.0
115;sicherheit burger düsseldorf;5.0
116;geschmäcker verschieden persönlich sagen burgerläden schmeckt industriestandart ketten;5.0
117;bürger geschmeckt personal freundlich nett personal schnell;5.0
118;leckere burger nettes personal preis normal;5.0
119;burger lecker dauerte fast 20min bestellung aufgenommen 10min bedienung fragte erneut bestellung probleme essen;2.0
120;lecker entspanntes freundliches personal riesengroße burger leckere einfallsreiche pommes beilage interessante lokalität;5.0
121;bester burger gegessen;5.0
122;amazing burgers beer;5.0
123;super burger interessanter laden echt verrückt gefühlt geld teller sterne gegeben;4.0
124;leckerer burger auswahl vegetarischen veganen optionen essen schnell bedienung freundlich;5.0
125;exquisite creative very nerdy;5.0
126;klasse;5.0
127;germany wallah burger geschmeckt;1.0
128;burger super lecker landen platz persönlichem burgerfavoritenliste neufundländer probiert begeistert;4.0
129;woche super lecker essen getränke nehmen;5.0
130;cooler burgerladen witz charme netter bedienung burger fairen preisen;5.0
131;gemütlicher laden personal nett burger preis definitiv wert sehen extrem unappetitlich avocado vergammelt beyond meat burger;2.0
132;nice burgers with vegetarian vegans options toilets same floor;5.0
133;empfinde liebe restaurant;5.0
134;bedienung freundlich deko ansprechend essen;5.0
135;perfekt veganer tauglich;5.0
136;spät samstagabend reservierung platz bekommen positiv überrascht personal freundlich aufmerksam frage okay;3.0
137;minuten sitzen bedienung anschaut gegangen unfreundlich schlimmer gehts;1.0
138;unbegreiflich laden größe kartenzahlung anbieten corona etc. landet zweit fall euro absolut zeitgemäß falls ändert ändere gerne bewertung edit september kartenzahlung test derzeit pflicht betreten restaurants innen gefragt handy rausholen kellner komm;1.0
139;burger super service keinerlei kontrolle imof- testnachweisen burger;2.0
140;essen lecker unerwünscht gefühlt service unmotiviert;3.0
141;lecker kellner geben aufmerksamkeit gäste;4.0
142;selten leckeren burger gegessen herzhaft schmackhaft service freundlich aufmerksam tollen aufenthalt;5.0
143;beste;1.0
144;schöner laden nette bedienung auswahl ausgefallenen burgen geschmack preise 12,- burger günstig;3.0
145;leben unappetitliches essen genommen fleisch gummi sprite bitter burger konstruiert bedienung pommes vergessen wartezeit;1.0
146;lebensmittelvergiftung verstehe hype;1.0
147;dönerfleisch frisch spieß geschnitten geschnitten kalt bereit nachfrage warmes fleisch hinzugefügt laden besuchen;2.0
148;schlechter döner kalbfleisch einfach ekelhaft brot verbrannt;1.0
149;leckerer saftiger knuspriger döner laden klein fällt sofort döner schmeckt geschmack abweichend;3.0
150;gehört beste döner düsseldorf döner enttäuschung;2.0
