;caption;rating;timestamp
0;;5.0;2023-01-26 12:45:52.538799
1;Absolutely fantastic pizza. This is definitely one of the best if not the best pizza places in Frankfurt. They were fully packed on a weeknight so reservations are highly recommended.;5.0;2023-01-26 09:45:52.538831
2;Sehr chillige Pizzeria! Immer gute Laune der Angestellten ,fast schon partymäßig! Pizza,Mega ! Extrem hochwertiger Belag, auch obwohl ich normalerweise die  krossen Pizzen mehr schätze, gehe ich dort immer wieder hin, weil wie gesagt, der leckere Belag alles ausgleicht… Sie werden ja nun mal nur 90 Sekunden in den Ofen bei hoher Temperatur  zubereitet und da wird die Pizza nicht richtig kross im Teig ,aber dafür sehr lecker und vom Steinofen her optimal. Der Teig schmeckt auch sehr gut an sich . Was auch sehr löblich ist, man kann die Pizza, mit in die Brauerei nehmen ,neben an. Drinnen wie draußen ,im Freien konsumieren,ein Bierchen dort trinken und die Pizza von nebenan essen ! Auch umgekehrt … kann man sich ein leckeres frisch gezapftes Bier mit in die Pizzeria rein nehmen! Wo hat man so eine tolle Kooperation ? fantastisch ! Es läuft immer eine sehr angenehme Musik partymäßig angenehm. Die Leute sind freundlich 😉,es herrscht eine sehr schöne Atmosphäre und es ist immer rappelvoll! Man sollte eigentlich seine Pizza nicht später als sechs konsumieren ,danach wird es brechend voll! Oder wann kommt spät, Bitte die last Order beachten ,unterschiedliche Öffnungszeiten… Gehört zu den besten Pizzerien in Frankfurt!  (Translated by Google) Very chilled pizzeria! The employees are always in a good mood, almost like a party! Pizza, mega! Extremely high-quality toppings, even though I usually appreciate the crispy pizzas more, I keep going there because, as I said, the delicious toppings balance everything out... They are only prepared for 90 seconds in the oven at a high temperature and the pizza is not really crispy in the dough, but it is very tasty and the stone oven is ideal. The dough itself tastes really good too. Which is also very praiseworthy, you can take the pizza to the brewery next door. Inside and outside, consume outdoors, have a beer there and eat the pizza next door! Also vice versa... you can take a delicious freshly tapped beer to the pizzeria! Where do you have such a great cooperation? fantastic ! There is always a very pleasant music playing in a party-like way. The people are friendly 😉, there is a very nice atmosphere and it is always packed! You should actually eat your pizza no later than six, after that it gets packed! Or when is it late, please note the last order, different opening times... One of the best pizzerias in Frankfurt!;5.0;2023-01-26 01:45:52.538840
3;Hands down, best pizza in town.;5.0;2023-01-25 22:45:52.538843
4;;5.0;2023-01-25 22:45:52.538846
5;;5.0;2023-01-23 22:45:52.538849
6;;5.0;2023-01-22 22:45:52.538851
7;Sehr geil  (Translated by Google) very cool;5.0;2023-01-21 22:45:52.538854
8;"Super leckere, gute belegte Pizza. Extrem dünn in der Mitte, dafür dicker fluffiger Rand. ""Normale"" deutsche Sorten (z.B. Hawaii) sucht man hier vergeblich, aber das ist auch gut so! Das hier ist deutlich italienischer. …";5.0;2023-01-19 22:45:52.538856
9;;5.0;2023-01-19 22:45:52.538859
10;;5.0;2023-01-19 22:45:52.538862
11;Die Pizzen sind sehr Lecker, leider ist die Wartezeit grade in Stichzeiten recht lang (ca. 1std). Im Sommer kann man schön draußen sitzen, drinnen ist die Musik leider sehr laut. …;4.0;2023-01-19 22:45:52.538865
12;;4.0;2023-01-19 22:45:52.538867
13;Gehört zu den besten Pizza Restaurants in Frankfurt. Sehr lecker!  (Translated by Google) …;5.0;2023-01-19 22:45:52.538870
14;Absolutely fantastic;5.0;2023-01-19 22:45:52.538877
15;;5.0;2023-01-19 22:45:52.538880
